"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","regulation"
"UCK2",512.335687110683,1.11070006055648,0.260020136220482,3.86048254165453e-06,4.25506502250504e-05,"Up"
"KCNK1",207.287174483758,1.16716748487684,0.27481476094153,3.87011096891114e-06,4.26163155583734e-05,"Up"
"YIF1A",816.729583800155,1.11744538187561,0.260994659289133,3.8714680250056e-06,4.26163155583734e-05,"Up"
"CD1E",63.8259743496156,-2.0134273812137,0.497565982379618,3.89570328652562e-06,4.28552641876589e-05,"Down"
"GCGR",27.248383446681,-2.46146227422935,0.61735820989809,3.92809426200238e-06,4.31835628595748e-05,"Down"
"TIMELESS",142.151471375731,1.19828377439605,0.282568942069361,3.93829310371646e-06,4.32676245587825e-05,"Up"
"COL25A1",56.3362184281961,-1.63853430266096,0.398459743135769,3.94502100586071e-06,4.32854343633339e-05,"Down"
"TMEM35",14.3241946387454,-2.48839813471683,0.623956038299895,3.9558365056928e-06,4.33760287480623e-05,"Down"
"TPH2",322.825928783332,-1.26342806119424,0.300197551314727,3.99310674766045e-06,4.37563966298254e-05,"Down"
"C12orf39",24.4605848799378,-2.53102216445802,0.636781199701933,4.0349575718478e-06,4.41864345981679e-05,"Down"
"HIST1H2AE",1098.26680805522,1.61637232518348,0.392909721567179,4.09144238089697e-06,4.47429132269786e-05,"Up"
"TMIE",11.9458450562327,-1.91932715003857,0.473275591932237,4.09369150631453e-06,4.47429132269786e-05,"Down"
"PGLYRP2",14.0427690036579,-2.30080579840767,0.575847984475195,4.11225713644663e-06,4.48590624047898e-05,"Down"
"RP11-146D12.2",52.0337646196198,-1.71004863888756,0.418200210497422,4.11539832200802e-06,4.48644581059035e-05,"Down"
"SLX1A",888.12307934536,1.14494117206552,0.269805739292016,4.161100320735e-06,4.53335299724291e-05,"Up"
"CCDC3",179.597128468488,-1.18032849611816,0.279445684370785,4.20129743850424e-06,4.57420643400924e-05,"Down"
"FOS",9062.68699955158,-1.39980303173139,0.337996384429373,4.26995780690883e-06,4.64597719786383e-05,"Down"
"GLYATL2",127.901005846586,3.30305567394844,0.496180410605552,4.29004674090615e-06,4.66185079178469e-05,"Up"
"ZC3H6",77.1697448588599,-1.00110786623439,0.233442548969874,4.28999146983016e-06,4.66185079178469e-05,"Down"
"DISP1",393.261892871824,-1.13002711916556,0.266961304209523,4.33991643200085e-06,4.71302135523885e-05,"Down"
